course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2011HS.2026-0102,INTERNATIONAL STRATEGY,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2023HS.2026-0103,STRATEGIC CHANGE AND IMPLEMENTATION,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2023HS.2026-0107,STRATEGIC CHANGE AND IMPLEMENTATION,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2030HS.2026-0104,CANADIAN BUSINESS HISTORY,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2054HS.2026-0104,TECHNOLOGY STRATEGY,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2061HS.2026-0301,STRATEGIC NETWORKS,8,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2085HS.2026-0108,HEALTHCARE INNOVATION,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2125HS.2026-0101,GAME THEORY AND APPLICATIONS FOR MANAGEMENT,1,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2130HS.2026-0104,REAL ESTATE INVESTMENT,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2209HS.2026-0104,FINANCIAL STATEMENT ANALYSIS,1,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2209HS.2026-0108,FINANCIAL STATEMENT ANALYSIS,1,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2301HS.2026-0108,FINANCIAL MANAGEMENT,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2303HS.2026-0107,RISK MODELLING AND FINANCIAL TRADING STRATEGIES,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2308HS.2026-0108,RISK MANAGEMENT AND FINANCIAL INSTITUTIONS,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2309HS.2026-0104,MERGERS AND ACQUISITIONS,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2309HS.2026-0108,MERGERS AND ACQUISITIONS,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2319HS.2026-0108,FINTECH,4,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2321HS.2026-0104,SPECIAL TOPICS IN FINANCE,1,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2328HS.2026-0108,MACHINE LEARNING AND FINANCIAL INNOVATION,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2409HS.2026-0104,DATA SCIENCE FOR MANAGERS,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2504HS.2026-0108,CONSUMER BEHAVIOUR,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2506HS.2026-0101,STRATEGIC MARKETING INTELLIGENCE,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2512HS.2026-0108,BRANDING,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2521HS.2026-0103,DIGITAL MARKETING,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2527HS.2026-0104,DESIGN RESEARCH AND INSIGHT-DRIVEN STORYTELLING,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2604HS.2026-0301,MANAGERIAL NEGOTIATIONS,3,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2604HS.2026-0302,MANAGERIAL NEGOTIATIONS,2,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2615HS.2026-0103,SPECIAL TOPICS IN OBHRM,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2618HS.2026-0301,SOCIALLY INTELLIGENT MANAGER,11,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2619HS.2026-0103,POWER AND INFLUENCE IN ORGANIZATIONS,6,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2622HS.2026-0301,LEADERSHIP DEVELOPMENT LAB,3,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2622HS.2026-0302,LEADERSHIP DEVELOPMENT LAB,6,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2640HS.2026-0301,LEADING SOCIAL INNOVATION,1,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2700HS.2026-0101,INDEPENDENT STUDY PROJECT,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2701HS.2026-0101,GLOBAL CONSULTING PROJECT,0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2709HS.2026-0101,GLOBAL PRACTICUM: GLOBAL MANAGEMENT,2,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2710HS.2026-0101,"GLOBAL PRACTICUM: INNOVATION, ENTREPRENEURSHIP AND BUSINESS",0,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2710HS.2026-0102,"GLOBAL PRACTICUM: INNOVATION, ENTREPRENEURSHIP AND BUSINESS",1,spring,2026-01-14,2026-01-15T03:59:56Z
RSM2798HS.2026-0101,SPECIAL TOPICS IN EXPERIENTIAL LEARNING,0,spring,2026-01-14,2026-01-15T03:59:56Z
