course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2017HY.2026-0108,PHARMACEUTICAL STRATEGY,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2061HY.2026-0301,STRATEGIC NETWORKS,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2083HY.2026-0108,SPECIAL TOPICS IN STRATEGIC MANAGEMENT,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2123HY.2026-0301,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,19,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2132HY.2026-0301,BUSINESS AND THE CITY,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2220HY.2026-0301,WHITE COLLAR CRIME: CREATIVE ACCOUNTING AND CORPORATE FRAUD,24,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2313HY.2026-0108,SUSTAINABLE FINANCE,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2401HY.2026-0104,DATA AND INFORMATION MANAGEMENT FOR BUSINESS,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2525HY.2026-0108,ONE TO ONE MARKETING,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2526HY.2026-0301,CREATIVE THINKING FOR BUSINESS INNOVATION,1,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2604HY.2026-0301,MANAGERIAL NEGOTIATIONS,15,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2618HY.2026-0301,SOCIALLY INTELLIGENT MANAGER,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2621HY.2026-0301,EFFECTIVE LEADERSHIP,11,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2700HY.2026-0701,INDEPENDENT STUDY PROJECT,1,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2700HY.2026-0702,INDEPENDENT STUDY PROJECT,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2711HY.2026-0701,GLOBAL PRACTICUM: STRATEGY,4,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2798HY.2026-0101,SPECIAL TOPICS IN EXPERIENTIAL LEARNING,0,summer,2026-04-18,2026-04-19T02:42:22Z
RSM2020HY.2026-0203,HEALTH SECTOR STRATEGY & ORGANIZATIONS,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2058HY.2026-0201,COMMUNICATING STRATEGY,5,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2127HY.2026-0208,ECONOMIC ENVIRONMENT OF INTERNATIONAL BUSINESS,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2198HY.2026-0201,SPECIAL TOPICS IN ECONOMIC ANALYSIS AND POLICY,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2310HY.2026-0203,ANALYSIS AND MANAGEMENT OF FIXED INCOME SECURITIES,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2405HY.2026-0208,SUPPLY CHAIN MANAGEMENT,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2522HY.2026-0201,MARKETING AND BEHAVIOURAL ECONOMICS,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2523HY.2026-0208,BUSINESS DESIGN FUNDAMENTALS,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
RSM2603HY.2026-0201,ADVANCED NEGOTIATIONS AND CONFLICT MANAGEMENT,0,summer intensive,2026-04-18,2026-04-19T02:42:22Z
