course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2017HY.2025-0301,PHARMACEUTICAL STRATEGY,0,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2023HY.2025-0301,STRATEGIC CHANGE AND IMPLEMENTATION,12,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2123HY.2025-0301,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,32,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2204HY.2025-0301,TAXATION & DECISION-MAKING,21,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2309HY.2025-0108,MERGERS AND ACQUISITIONS,23,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2313HY.2025-0108,SUSTAINABLE FINANCE,14,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2525HY.2025-0108,ONE TO ONE MARKETING,3,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2526HY.2025-0301,CREATIVE THINKING FOR BUSINESS INNOVATION,4,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2604HY.2025-0301,MANAGERIAL NEGOTIATIONS,29,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2618HY.2025-0301,SOCIALLY INTELLIGENT MANAGER,1,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2619HY.2025-0301,POWER AND INFLUENCE IN ORGANIZATIONS,26,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2621HY.2025-0301,EFFECTIVE LEADERSHIP,25,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2700HY.2025-0701,INDEPENDENT STUDY PROJECT,0,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2700HY.2025-0702,INDEPENDENT STUDY PROJECT,5,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2700HY.2025-0703,INDEPENDENT STUDY PROJECT,0,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2701HY.2025-0701,GLOBAL CONSULTING PROJECT,3,summer,2025-04-26,2025-04-27T02:00:17Z
RSM2020HY.2025-0201,HEALTH SECTOR STRATEGY & ORGANIZATIONS,0,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2058HY.2025-0201,COMMUNICATING STRATEGY,12,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2127HY.2025-0208,ECONOMIC ENVIRONMENT OF INTERNATIONAL BUSINESS,0,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2198HY.2025-0201,SPECIAL TOPICS IN ECONOMIC ANALYSIS AND POLICY,1,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2220HY.2025-0203,WHITE COLLAR CRIME: CREATIVE ACCOUNTING AND CORPORATE FRAUD,0,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2310HY.2025-0203,ANALYSIS AND MANAGEMENT OF FIXED INCOME SECURITIES,0,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2408HY.2025-0201,MODELLING AND OPTIMIZATION FOR DECISION MAKING,0,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2522HY.2025-0203,MARKETING AND BEHAVIOURAL ECONOMICS,1,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2523HY.2025-0208,BUSINESS DESIGN FUNDAMENTALS,4,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2603HY.2025-0201,ADVANCED NEGOTIATIONS AND CONFLICT MANAGEMENT,1,summer intensive,2025-04-26,2025-04-27T02:00:17Z
RSM2604HY.2025-0201,MANAGERIAL NEGOTIATIONS,16,summer intensive,2025-04-26,2025-04-27T02:00:17Z
